month,year,24 hr-explorer,7 days,semester,year-local 365,monthly-local 30,weekender - 3 day,walk-up,local 365 + guest annual,low income - year - B-cycle for all,free for UT Students
9,2014,0,0,0,0,$19.99 ,0,0,0,0,0
10,2014,0,0,0,0,0,0,0,0,0,0
11,2014,0,0,0,0,0,0,0,0,0,0
12,2014,$8 ,$25 ,$50 ,$80 ,$0 ,0,0,0,0,0
1,2015,$8 ,$25 ,0,$80 ,$10.99 ,0,0,0,0,0
2,2015,$8 ,$25 ,0,$80 ,$10.99 ,0,0,0,0,0
3,2015,$8 ,$25 ,0,$80 ,$10.99 ,0,0,0,0,0
4,2015,$8 ,$25 ,0,$80 ,$10.99 ,0,0,0,0,0
5,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
6,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
7,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
8,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
9,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
10,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
11,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
12,2015,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,0
1,2016,$8 ,0,0,$80 ,$10.99 ,$15 ,0,0,0,
2,2016,$8 ,0,0,$80 ,$10.99 ,$15 ,0,0,0,
3,2016,$8 ,0,0,$80 ,$10.99 ,$15 ,0,0,0,
4,2016,$8 ,0,0,$80 ,$10.99 ,$15 ,0,0,0,
5,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
6,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
7,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
8,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
9,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
10,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
11,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
12,2016,$8 ,0,0,$80 ,$11 ,$15 ,0,0,0,
1,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,0,
2,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,0,
3,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,0,
4,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
5,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
6,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
7,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
8,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
9,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
10,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
11,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
12,2017,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
1,2018,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,
2,2018,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,free - Feb 14
3,2018,$12 ,0,0,$80 ,$11 ,$15 ,$12 ,$90 ,$5 ,free - Feb 14
4,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
5,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
6,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
7,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
8,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
9,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
10,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
11,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
12,2018,$12 ,0,0,$80 ,$11 ,$18 ,$12 ,$90 ,$5 ,free - Feb 14
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
